Date,Open,High,Low,Close
2022-12-28,1803.199951171875,1807.9000244140625,1803.0999755859375,1807.9000244140625
2022-12-29,1805.800048828125,1819.5,1805.800048828125,1819.5
2022-12-30,1817.0,1822.300048828125,1816.800048828125,1819.699951171875
2023-01-03,1836.199951171875,1839.699951171875,1836.199951171875,1839.699951171875
2023-01-04,1845.5999755859375,1859.0999755859375,1845.5999755859375,1852.800048828125
2023-01-05,1855.199951171875,1855.199951171875,1834.800048828125,1834.800048828125
2023-01-06,1838.4000244140625,1868.199951171875,1835.300048828125,1864.199951171875
2023-01-09,1867.0,1880.0,1867.0,1872.699951171875
2023-01-10,1877.800048828125,1878.0999755859375,1871.5999755859375,1871.5999755859375
2023-01-11,1873.0999755859375,1877.800048828125,1873.0999755859375,1874.5999755859375
2023-01-12,1877.199951171875,1897.4000244140625,1877.199951171875,1895.5
2023-01-13,1899.0,1920.9000244140625,1898.300048828125,1918.4000244140625
2023-01-16,1920.0999755859375,1920.0999755859375,1912.4000244140625,1912.4000244140625
2023-01-17,1920.0999755859375,1920.0999755859375,1905.199951171875,1907.199951171875
2023-01-18,1911.0999755859375,1911.0999755859375,1903.0999755859375,1904.4000244140625
2023-01-19,1922.0999755859375,1931.800048828125,1922.0999755859375,1922.0999755859375
2023-01-20,1922.0999755859375,1928.5,1921.4000244140625,1926.4000244140625
2023-01-23,1926.5,1927.0999755859375,1915.0,1927.0999755859375
2023-01-24,1931.800048828125,1936.800048828125,1931.800048828125,1933.9000244140625
2023-01-25,1941.199951171875,1941.199951171875,1939.800048828125,1941.199951171875
2023-01-26,1936.5999755859375,1937.0999755859375,1927.0999755859375,1929.0999755859375
2023-01-27,1928.5999755859375,1928.5999755859375,1928.5999755859375,1928.5999755859375
2023-01-30,1928.300048828125,1933.5999755859375,1920.300048828125,1922.9000244140625
2023-01-31,1923.0,1930.4000244140625,1900.5999755859375,1929.5
2023-02-01,1927.199951171875,1955.0,1922.0,1927.800048828125
2023-02-02,1952.300048828125,1959.0999755859375,1911.300048828125,1916.300048828125
2023-02-03,1912.4000244140625,1917.0,1861.5,1862.9000244140625
2023-02-06,1865.5999755859375,1880.0,1863.4000244140625,1866.199951171875
2023-02-07,1870.0,1875.699951171875,1868.0,1871.699951171875
2023-02-08,1872.0999755859375,1880.4000244140625,1872.0999755859375,1877.4000244140625
2023-02-09,1875.300048828125,1884.5999755859375,1859.800048828125,1866.199951171875
2023-02-10,1861.5999755859375,1863.5,1852.4000244140625,1862.800048828125
2023-02-13,1859.0,1861.0,1850.0,1851.9000244140625
2023-02-14,1854.0999755859375,1862.0,1846.199951171875,1854.0
2023-02-15,1842.0,1842.0,1828.199951171875,1834.199951171875
2023-02-16,1838.5999755859375,1843.699951171875,1827.199951171875,1842.0
2023-02-17,1827.4000244140625,1842.199951171875,1818.4000244140625,1840.4000244140625
2023-02-21,1842.5999755859375,1843.0,1833.0,1833.0
2023-02-22,1835.699951171875,1836.199951171875,1825.0999755859375,1832.0
2023-02-23,1826.4000244140625,1827.5,1818.0,1818.0
2023-02-24,1808.800048828125,1808.800048828125,1808.800048828125,1808.800048828125
2023-02-27,1811.5999755859375,1817.5,1808.9000244140625,1817.0
